City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
235,Malanje,AO,78.06,clear sky,-9.5402,16.341,Malanje Hotel
236,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
237,Chapais,CA,55.18,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
238,Macduff,GB,64.56,broken clouds,57.6701,-2.4969,Banff Springs Hotel
239,Nouadhibou,MR,76.98,clear sky,20.931,-17.0347,El Medina
240,Spermezeu,RO,78.57,broken clouds,47.3,24.15,
242,Hami,CN,85.03,broken clouds,42.8,93.45,Laoyutang Resort
243,Benguela,AO,72.59,clear sky,-12.5763,13.4055,Hotel Praia Morena
244,Lata,PT,83.05,overcast clouds,40.1629,-8.3327,Casa Maquia
245,Santa Marta,CO,89.35,overcast clouds,11.2408,-74.199,Casa de Isabella
246,Hamilton,US,82.0,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
248,Dudinka,RU,69.71,overcast clouds,69.4058,86.1778,Hotel Viktoria
249,Yuzhnyy,RU,68.38,light rain,53.2542,83.6936,Парк-отель Лесные дали
250,Barguzin,RU,55.89,overcast clouds,53.6167,109.6167,"Gostevoy Dom S.barguzin ""Vizit"""
251,Kribi,CM,76.93,overcast clouds,2.95,9.9167,Les Vagues bleues
252,Bairiki,KI,82.4,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
253,Potam,MX,96.84,scattered clouds,27.6,-110.3833,Ejido La Pimienta
254,Katyuzhanka,UA,74.53,broken clouds,50.806,30.1376,УЛІС
255,Rincon,US,84.11,broken clouds,32.296,-81.2354,Days Inn Rincon
256,Sayyan,YE,66.83,broken clouds,15.1718,44.3244,متنزه و بحيرة سيان
257,Creel,MX,69.1,scattered clouds,27.75,-107.6333,The Lodge at Creel Hotel & SPA
258,Karaton,ID,79.95,scattered clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
259,Iralaya,HN,84.29,overcast clouds,15.0,-83.2333,Iglesia morava renovada
260,Lensk,RU,54.7,few clouds,60.7253,114.9278,ТинОрС
261,Genhe,CN,56.57,overcast clouds,50.7833,121.5167,Companionship Hotel
262,Huilong,CN,84.04,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
263,Tursunzoda,TJ,85.08,clear sky,38.5144,68.2333,Stoyanka Charli
264,Pouso Alegre,BR,72.84,few clouds,-22.23,-45.9364,Hotel Ferraz | Pouso Alegre - MG | Centro
265,Izmalkovo,RU,67.69,broken clouds,52.6887,37.964,
266,Selikhino,RU,57.36,overcast clouds,50.3672,137.4996,Tosklivyy Dom
267,Chachapoyas,PE,64.47,scattered clouds,-6.2317,-77.869,Teresita
